clauseCode,category,wordingRelationship,expected,predicted,correct,coverage,retrieval,bm25,semantic,confidence
BP-CUFF-PRESSURE,Performance Testing,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.693,0.374,0.865,0.80
BP-CUFF-PRESSURE,Performance Testing,SATISFIED_PARAPHRASE,PASS,PASS,1,1.000,0.424,0.140,0.577,0.70
BP-CUFF-PRESSURE,Performance Testing,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.556,0.243,0.725,0.80
BP-OVERPRESSURE,Safety Testing,SATISFIED_LITERAL,PASS,MINOR_IMPROVEMENT,0,0.667,0.562,0.383,0.659,0.63
BP-OVERPRESSURE,Safety Testing,SATISFIED_PARAPHRASE,PASS,REJECT,0,0.000,0.403,0.095,0.568,0.60
BP-OVERPRESSURE,Safety Testing,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,MINOR_IMPROVEMENT,1,0.667,0.510,0.234,0.658,0.63
CORE-DMF,Device Master File,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.743,0.585,0.828,0.80
CORE-DMF,Device Master File,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.750,0.340,0.101,0.468,0.65
CORE-DMF,Device Master File,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.696,0.485,0.809,0.80
CORE-FSC,Licensing & Registration,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.477,0.331,0.556,0.70
CORE-FSC,Licensing & Registration,SATISFIED_PARAPHRASE,PASS,REJECT,0,0.000,0.296,0.064,0.421,0.60
CORE-FSC,Licensing & Registration,NOT_SATISFIED_DISTRACTOR,REJECT,PASS,0,1.000,0.447,0.214,0.573,0.70
CORE-IEC60601-1,Safety Testing,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.627,0.394,0.752,0.80
CORE-IEC60601-1,Safety Testing,SATISFIED_PARAPHRASE,PASS,PASS,1,1.000,0.477,0.277,0.585,0.70
CORE-IEC60601-1,Safety Testing,NOT_SATISFIED_DISTRACTOR,REJECT,MINOR_IMPROVEMENT,0,0.667,0.520,0.259,0.661,0.63
CORE-IFU,Instructions for Use,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.523,0.630,0.465,0.80
CORE-IFU,Instructions for Use,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.750,0.481,0.114,0.679,0.65
CORE-IFU,Instructions for Use,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.460,0.495,0.441,0.70
CORE-ISO13485,Quality Management,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.544,0.257,0.699,0.80
CORE-ISO13485,Quality Management,SATISFIED_PARAPHRASE,PASS,PASS,1,1.000,0.363,0.272,0.411,0.70
CORE-ISO13485,Quality Management,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.543,0.196,0.730,0.80
CORE-LBL-BILINGUAL,Labelling,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.604,0.477,0.673,0.80
CORE-LBL-BILINGUAL,Labelling,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.667,0.465,0.197,0.609,0.63
CORE-LBL-BILINGUAL,Labelling,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.575,0.395,0.672,0.80
CORE-LBL-MFR,Labelling,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.458,0.222,0.585,0.70
CORE-LBL-MFR,Labelling,SATISFIED_PARAPHRASE,PASS,PASS,1,1.000,0.353,0.113,0.481,0.70
CORE-LBL-MFR,Labelling,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.426,0.176,0.561,0.70
ECG-ALGORITHM,Software Lifecycle,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.685,0.507,0.782,0.80
